"","Species","Status","Interactivity","Availability","continents","regions","biomes","maturity","gestation","class","order","family","genus","image_link","compatible","version"
"28","Common Ostrich","Least concern","Full","Standard","Africa","All of Africa except deserts and rainforests","Grassland,Desert","3 years","1 month","Aves","Struthioniformes","Struthionidae","Struthio",NA,"African Buffalo,Black Wildebeest,Common Warthog,Nile Lechwe,Plains Zebra,Reticulated Giraffe,Sable Antelope,Scimitar-Horned Oryx,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"29","Common Warthog","Least concern","Full","Standard","Africa","Sub-Saharan Africa","Grassland,Tropical","2 years","6 months","Mammalia","Artiodactyla","Suidae","Phacochoerus",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Plains Zebra,Reticulated Giraffe,Sable Antelope,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"30","Lehmann's Poison Frog","Critically endangered","Exhibit","Standard","South America","Colombia","","1 year","1 month","Amphibia","Anura","Dendrobatidae","Oophaga",NA,NA,"Standard"
"31","Snow Leopard","Vulnerable","Full","Standard","Asia","China, Southern Siberia, Himalayas, Mongolia","Taiga","3 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","Standard"
"32","Aldabra Giant Tortoise","Vulnerable","Full","Standard","Africa","Seychelles","Tropical","25 years","8 months","Reptilia","Testudines","Testudinidae","Aldabrachelys",NA,"","Standard"
"33","Goliath Birdeater","Data deficient","Exhibit","Standard","South America","Suriname, Guyana, French Guiana, Brazil, Venezuela","","3-6 years","2 months","Arachnida","Araneae","Theraphosidae","Theraphosa",NA,NA,"Standard"
"34","Titan Beetle","Data deficient","Exhibit","Standard","South America","Venezuela, Colombia, Ecuador, Peru, the Guianas, Brazil","","Unknown","1 month","Insecta","Coleoptera","Cerambycidae","Titanus",NA,NA,"Standard"
"35","Yellow Anaconda","Least concern","Exhibit","Standard","South America","Paraguay, Bolivia, Argentina, Brazil","","3-4 years","6 months","Reptilia","Squamata","Boidae","Eunectes",NA,NA,"Standard"
"36","Indian Rhinoceros","Vulnerable","Full","Standard","Asia","Nepal, India, Bhutan","Grassland,Temperate","6 years","16 months","Mammalia","Perissodactyla","Rhinocerotidae","Rhinoceros",NA,"Asian Small-Clawed Otter,Wild Water Buffalo","Standard"
"37","Okapi","Endangered","Full","Standard","Africa","Democratic Republic of Congo","Tropical","2 years","16 months","Mammalia","Artiodactyla","Giraffidae","Okapia",NA,"Red River Hog","Standard"
"38","Indian Elephant","Endangered","Full","Standard","Asia","India, Nepal, Bangladesh, Bhutan, Myanmar, Thailand, Malaysia, Laos, China, Cambodia, Vietnam","Tropical,Grassland,Temperate","13 years","22 months","Mammalia","Proboscidea","Elephantidae","Elephas",NA,"Malayan Tapir,Proboscis Monkey,NA","Standard"
"39","Gharial","Critically endangered","Full","Standard","Asia","Bangladesh, Nepal, India","Aquatic,Tropical,Temperate","14 years","3 months","Reptilia","Crocodilia","Gavialidae","Gavialis",NA,"","Standard"
"40","Pronghorn Antelope","Least concern","Full","Standard","North America","USA, Canada, Mexico","Grassland,Temperate,Taiga,Desert","1.5 years","8 months","Mammalia","Artiodactyla","Antilocapridae","Antilocapra",NA,"American Bison","Standard"
"41","Aardvark","Least concern","Full","Standard","Africa","Sub Saharan Africa","Grassland,Tropical","2 years","7 months","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus",NA,"Meerkat","Standard"
"42","Mandrill","Vulnerable","Full","Standard","Africa","Cameroon, Gabon, Equatorial Guinea, Congo","Tropical","7 years","6 months","Mammalia","Primates","Cercopithecidae","Mandrillus",NA,"Red River Hog","Standard"
"43","Baird's Tapir","Endangered","Full","Standard","South America, Central America","Belize, Colombia, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua, Panama","Tropical,Temperate,Grassland,Aquatic","2 years","13 months","Mammalia","Perissodactyla","Tapiridae","Tapirus",NA,"Capybara,Colombian White-Faced Capuchin Monkey,Giant Anteater","Standard"
"44","Himalayan Brown Bear","Critically endangered","Full","Standard","Asia","Northern Afghanistan, Northern Pakistan, Northern India, Western China, Nepal, Kazakhstan","Taiga,Tundra","4-5 years","8 months","Mammalia","Carnivora","Ursidae","Ursus",NA,"","Standard"
"45","Goliath Frog","Endangered","Exhibit","Standard","Africa","Cameroon, Equatorial Guinea","","10-12 months","3 months","Amphibia","Anura","Conrauidae","Conraua",NA,NA,"Standard"
"46","Giant Forest Scorpion","Data deficient","Exhibit","Standard","Asia","Sri Lanka, India","","1-3 years","9 months","Arachnida","Scorpiones","Scorpionidae","Heterometrus",NA,NA,"Standard"
"47","Gemsbok","Least concern","Full","Standard","Africa","Namibia, Botswana, South Africa","Desert","2 years","8 months","Mammalia","Artiodactyla","Hippotraginae","Oryx",NA,"","Standard"
"48","African Buffalo","Near threatened","Full","Standard","Africa","Sub-Saharan Africa","Grassland,Tropical","5 years","11 months","Mammalia","Artiodactyla","Bovidae","Syncerus",NA,"Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Nile Lechwe,Plains Zebra,Red River Hog,Reticulated Giraffe,Sable Antelope,Scimitar-Horned Oryx,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"49","Red Panda","Endangered","Full","Standard","Asia","Eastern Himalayas, Southwestern China","Taiga,Temperate","1.5 years","5 months","Mammalia","Carnivora","Ailuridae","Ailurus",NA,"","Standard"
"50","Western Lowland Gorilla","Critically endangered","Full","Standard","Africa","Angola, Cameroon, Central African Republic, Equatorial Guinea, Gabon and the Democratic Republic of Congo","Tropical","10 years","9 months","Mammalia","Primates","Hominidae","Gorilla",NA,"Red River Hog","Standard"
"51","Sable Antelope","","Full","Standard","Africa","","Grassland","1.5 years","9 months","Mammalia","Artiodactyla","Bovidae","Hippotragus",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Plains Zebra,Reticulated Giraffe,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"52","Formosan Black Bear","Vulnerable","Full","Standard","Asia","Taiwan","Tropical,Temperate,Taiga","5 years","7 months","Mammalia","Carnivora","Ursidae","Ursus",NA,"","Standard"
"53","Nile Monitor","Least concern","Full","Standard","Africa","Sub-Saharan Africa","Tropical,Grassland","4 years","10 months","Reptilia","Squamata","Varanidae","Varanus",NA,"","Standard"
"54","Golden Poison Frog","Endangered","Exhibit","Standard","South America","Colombia","","12-18 months","0 months","Amphibia","Anura","Dendrobatidae","Phyllobates",NA,NA,"Standard"
"55","Bongo","Near threatened","Full","Standard","Africa","Cameroon, Central African Republic, Republic of Congo, Democratic Republic of Congo, Ivory Coast, Equatorial Guinea, Gabon, Ghana, Liberia, Sierra Leone, South Sudan","Tropical","2 years","9 months","Mammalia","Artiodactyla","Bovidae","Tragelaphus",NA,"Red River Hog","Standard"
"56","Bonobo","","Full","Standard","Africa","","Tropical","11 years","8 months","Mammalia","Primates","Hominidae","Pan",NA,"Red River Hog","Standard"
"57","Chinese Pangolin","Critically endangered","Full","Standard","Asia","India, Nepal, Bhutan, Bangladesh, Myanmar, Southern China, Hainan, Taiwan","Tropical,Temperate","1 year","8 months","Mammalia","Pholidota","Manidae","Manis",NA,"","Standard"
"58","Giant Tiger Land Snail","Data deficient","Exhibit","Standard","Africa","Sierra Leone, Liberia, Ivory Coast, Togo, Benin, Ghana, Nigeria","","2 years","1 month","Gastropoda","Stylommatophora","Achatinidae","Achatina",NA,NA,"Standard"
"59","Siberian Tiger","Endangered","Full","Standard","Asia","Eastern China, Eastern Russia, North Korea, Mongolia","Taiga,Temperate","4 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","Standard"
"60","Greater Flamingo","Least concern","Full","Standard","Africa, Asia, Europe","Bangladesh, Pakistan, India, Sri Lanka, Turkey, Israel, Lebanon, United Arab Emirates, Kuwait, Bahrain, Spain, Albania, Macedonia, Greece, Cyprus, Portugal, Italy","Aquatic,Tropical,Temperate,Grassland","3 years","1 months","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus",NA,"","Standard"
"61","Giant Panda","Vulnerable","Full","Standard","Asia","Central China","Temperate,Taiga","6 years","5 months","Mammalia","Carnivora","Ursidae","Ailuropoda",NA,"","Standard"
"62","Nyala","Least concern","Full","Standard","Africa","Malawi, Mozambique, South Africa, Eswatini, Zimbabwe, Botswana, Namibia","Tropical,Grassland","1.5 years","7 months","Mammalia","Artiodactyla","Bovidae","Tragelaphus",NA,"Southern White Rhinoceros","Standard"
"63","Brazilian Salmon Pink Tarantula","Data deficient","Exhibit","Standard","South America","Brazil","","Males 2 years, Females 3 years","1 month","Arachnida","Aranae","Theraphosidae","Lasiodora",NA,NA,"Standard"
"64","Eastern Brown Snake","Least concern","Exhibit","Standard","Oceania","Austarlia, New Guinea","","31 months","2 months","Reptilia","Squamata","Elapidae","Pseudonaja",NA,NA,"Standard"
"65","Giant Desert Hairy Scorpion","Data deficient","Exhibit","Standard","North America","Southern USA, Mexico","","4 years","9 months","Arachnida","Scorpiones","Caraboctonidae","Hadrurus",NA,NA,"Standard"
"66","Red Ruffed Lemur","Critically endangered","Full","Standard","Africa","Madagascar","Tropical","2.5 years","3 months","Mammalia","Primates","Lemuridae","Varecia",NA,"Black-and-White Ruffed Lemur,Ring Tailed Lemur","Standard"
"67","Japanese Macaque","Least concern","Full","Standard","Asia","Japan","Taiga,Temperate","4 years","5 months","Mammalia","Primates","Cercopithecidae","Macaca",NA,"Red-Crowned Crane","Standard"
"68","Amazonian Giant Centipede","Data deficient","Exhibit","Standard","South America","Throughout South America and the Caribbean","","2 years","4 months","Chilopoda","Scolopendromorpha","Scolopendridae","Scolopendra",NA,NA,"Standard"
"69","Gila Monster","Near threatened","Exhibit","Standard","North America","Southern USA, Northern Mexico","","3-5 years","9 months","Reptilia","Squamata","Helodermatidae","Heloderma",NA,NA,"Standard"
"70","Puff Adder","Least concern","Exhibit","Standard","Africa, Asia","Sub-Saharan Africa and Southern Middle East","","2 years","6 months","Reptilia","Squamata","Viperidae","Bitis",NA,NA,"Standard"
"71","Western Diamondback Rattlesnake","Least concern","Exhibit","Standard","North and Central America","USA, Mexico","","3 years","7 months","Reptilia","Squamata","Viperidae","Crotalus",NA,NA,"Standard"
"72","Common Death Adder","Least concern","Exhibit","Standard","Oceania","Australia","","Males 2 years, Females 3.5 years","6 months","Reptilia","Squamata","Elapidae","Acanthophis",NA,NA,"Standard"
"73","American Bison","Near threatened","Full","Standard","North America","Canada, USA","Grassland,Taiga","5 years","10 months","Mammalia","Artiodactyla","Bovidae","Bison",NA,"Black-Tailed Prairie Dog,Pronghorn Antelope","Standard"
"74","Goliath Beetle","Data deficient","Exhibit","Standard","Africa","Cameroon, Central African Republic, The Congo, Gabon, Kenya, Nigeria, Tanzania, Uganda","","1 year","0 months","","","","",NA,NA,"Standard"
"75","Giant Burrowing Cockroach","Data deficient","Exhibit","Standard","Oceania","Australia","","3 years","9 months","Insecta","Blattodea","Blaberidae","Macropanesthia",NA,NA,"Standard"
"76","Mexican Red Knee Tarantula","Vulnerable","Exhibit","Standard","Central America","Mexico","","Males 4 years, Females 6-7 years","3 months","Arachnida","Araneae","Theraphosidae","Brachypelma",NA,NA,"Standard"
"77","Polar Bear","Vulnerable","Full","Arctic Pack","North America, Europe","Canada, USA (Alaska), Greenland, Norway (Svalbard), Russia, Iceland","Aquatic,Tundra","7 years","9 months","Mammalia","Carnivora","Ursidae","Ursus",NA,"","Arctic Pack"
"78","Reindeer","Vulnerable","Full","Arctic Pack","Europe, North America, Asia","Russia (Siberia), Canada, USA (Alaska), Norway, Denmark, Finland, Greenland","Taiga,Tundra","5 years","8 months","Mammalia","Artiodactyla","Cervidae","Rangifer",NA,"","Arctic Pack"
"79","Arctic Wolf","Least concern","Full","Arctic Pack","North America","Canada, Greenland","Taiga,Tundra","4 years","2 months","Mammalia","Carnivora","Canidae","Canis",NA,"","Arctic Pack"
"80","Dall Sheep","Least concern","Full","Arctic Pack","North America","USA (Alaska), Canada","Taiga,Tundra","5 years","6 months","Mammalia","Artiodactyla","Bovidae","Ovis",NA,"","Arctic Pack"
"81","Llama","Domesticated","Full","South America Pack","South America","Ecuador, Peru, Bolivia, Chile, Argentina","Grassland,Taiga,Temperate","3 years","12 months","Mammalia","Artiodactyla","Camelidae","Lama",NA,"Capybara","South America Pack"
"82","Jaguar","Near threatened","Full","South America Pack","South America, North America","Mexico, Colombia, Venezuela, Ecuador, Peru, Bolivia, Paraguay, Uruguay, Brazil, Guyana, Suriname, Panama, Costa Rica, French Guiana, Nicaragua, Honduras, El Salvador, Guatemala, Belize","Tropical,Grassland,Temperate","3 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","South America Pack"
"83","Giant Anteater","Vulnerable","Full","South America Pack","South America, North America","Honduras, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Ecuador, Guyana, Suriname, French Guiana, Brazil, Argentina, Peru, Bolivia, Paraguay","Tropical,Grassland","4 years","9 months","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga",NA,"Baird's Tapir,Capybara,Colombian White-Faced Capuchin Monkey,Maned Wolf","South America Pack"
"84","Red-Eyed Tree Frog","Least concern","Exhibit","South America Pack","South America, North America","Mexico, Guatemala, Honduras, Nicaragua, Costa Rica, Panama, Colombia","","1 year","0 months","Amphibia","Anura","Phyllomedusidae","Agalychnis",NA,NA,"South America Pack"
"85","Colombian White-Faced Capuchin Monkey","Vulnerable","Full","South America Pack","South America, North America","Panama, Colombia, Ecuador","Tropical,Temperate","7 years","6 months","Mammalia","Primates","Cebidae","Cebus",NA,"Baird's Tapir,Capybara,Giant Anteater","South America Pack"
"86","Red Kangaroo","Least concern","Full","Australia Pack","Oceania","Australia","Desert,Grassland","2 years","8 months","Mammalia","Diprotodontia","Macropodidae","Macropus",NA,"Emu,Koala,Red-Necked Wallaby","Australia Pack"
"87","Dingo","Vulnerable","Full","Australia Pack","Oceania","Australia","Desert,Grassland","3 years","2 months","Mammalia","Carnivora","Canidae","Canis",NA,"","Australia Pack"
"88","Southern Cassowary","Least concern","Full","Australia Pack","Oceania, South East Asia","Australia, Papua New Guinea, Indonesia","Tropical","3 years","2 months","Aves","Casuariiformes","Casuariidae","Casuarius",NA,"","Australia Pack"
"89","Eastern Blue Tongued Lizard","Least concern","Exhibit","Australia Pack","Oceania","Australia","","2 years","4 months","Reptilia","Squamata","Scincidae","Tiliqua",NA,NA,"Australia Pack"
"90","Koala","Vulnerable","Full","Australia Pack","Oceania","Australia","Tropical,Temperate","4 years","8 months","Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos",NA,"Red Kangaroo","Australia Pack"
"91","King Penguin","Least concern","Full","Aquatic Pack","Antarctica, South America","Falkland Islands, South Georgia and the South Sandwich Islands, Prince Edward Islands, Crozet Islands, Marion Island, Heard Island and Mcdonald Islands, Macquarie Islands, Argentina, Chile","Aquatic,Tundra","3 years","2 months","Aves","Sphenisciformes","Spheniscidae","Aptenodytes",NA,"","Aquatic Pack"
"92","Giant Otter","Endangered","Full","Aquatic Pack","South America","Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Venezuela","Aquatic,Tropical,Grassland","2 months","","Mammalia","Carnivora","Mustelidae","Pteronura",NA,"","Aquatic Pack"
"93","Grey Seal","Least concern","Full","Aquatic Pack","North America, Europe","UK, Ireland, Iceland, Norway, Denmark, France, Netherlands, Belgium, Germany, Sweden, Finland, Estonia, Latvia, Lithuania, Poland, Russia, Canada, USA","Aquatic,Temperate,Tundra","5 years","11 months","Mammalia","Carnivora","Phocidae","Leptonychotes",NA,"","Aquatic Pack"
"94","Cuvier's Dwarf Caiman","Least concern","Full","Aquatic Pack","South America","Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, and Venezuela","Aquatic,Tropical,Temperate,Grassland","10 years","3 months","Reptilia","Crocodilia","Alligatoridae","Paleosuchus",NA,"","Aquatic Pack"
"95","Diamondback Terrapin","Vulnerable","Exhibit","Aquatic Pack","North America","Eastern territories in the USA","","Males 2-3 years, Females 8-10 years","3 months","Reptilia","Testudines","Emydidae","Malaclemys",NA,NA,"Aquatic Pack"
"96","European Fallow Deer","Least concern","Full","Europe Pack","Europe","United Kingdom, Portugal, Spain, France, Luxembourg, Belgium, The Netherlands, Italy, Switzerland, Austria, Germany, Denmark, Norway, Sweden, Poland, Czech Republic, Slovakia, Hungary, Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, Serbia, Kosovo, Bulgaria, Romania, Ukraine, Belarus, Lithuania, Latvia","Temperate,Grassland","4 years","8 months","Mammalia","Artiodactyla","Cervidae","Dama",NA,"Red Deer","Europe Pack"
"97","Sun Bear","Vulnerable","Full","Southeast Asia Animal Pack","Asia","Malaysia, Indonesia, Brunei, Thailand, Cambodia, Vietnam, Myanmar, Laos, Bangladesh, India","Tropical,Temperate,Grassland","4 years","6 months","Mammalia","Carnivora","Ursidae","Helarctos",NA,"Binturong","Southeast Asia Animal Pack"
"98","Clouded Leopard","Vulnerable","Full","Southeast Asia Animal Pack","Asia","Malaysia, Thailand, Cambodia, Vietnam, Laos, Myanmar, China, Nepal, Bhutan, Bangladesh, India","Tropical,Temperate","2.5 years","3 months","Mammalia","Carnivora","Felidae","Neofelis",NA,"","Southeast Asia Animal Pack"
