"","Species","Status","Interactivity","Availability","continents","regions","biomes","maturity","gestation","class","order","family","genus","image_link","compatible","version"
"119","Eurasian Lynx","Least concern","Full","Europe Pack","Europe and Asia","France, Switzerland, Italy, Austria, Germany, Norway, Sweden, Finland, Russia, Estonia, Latvia, Lithuania, Belarus, Poland, Czech Republic, Slovakia, Ukraine, Hungary, Romania, Slovenia, Bosnia and Herzegovina, Serbia, Montenegro, Bulgaria, Albania, North Macedonia, Turkey, Georgia, Armenia, Azerbaijan, Iran, Afghanistan, Uzbekistan, Tajikistan, Kyrgyzstan, Kazakhstan, Pakistan, India, Nepal, Bhutan, China, Mongolia","Taiga,Temperate,Tundra,Grassland","3 years","2 months","Mammalia","Carnivora","Felidae","Lynx",NA,"","Europe Pack"
"120","Alpine Ibex","Least concern","Full","Europe Pack","Europe","France, Switzerland, Italy, Austria, Germany, Slovenia","Taiga","2 Years","6 Months","Mammalia","Artiodactyla","Bovidae","Capra",NA,"","Europe Pack"
"121","European Badger","Least concern","Full","Europe Pack","Europe and Asia","United Kingdom, Portugal, Spain, France, Luxembourg, Belgium, The Netherlands, Italy, Switzerland, Austria, Germany, Denmark, Norway, Sweden, Poland, Czech Republic, Slovakia, Hungary, Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, Serbia, Kosovo, Bulgaria, Romania, Ukraine, Belarus, Lithuania, Latvia, Estonia, Finland, Russia, Georgia, Turkey, Armenia, Azerbaijan, Syria, Lebanon, Israel, Jordan, Iraq, Iran, Turkmenistan, Afghanistan, Tajikistan","Taiga,Temperate,Grassland","2 years","2 months","Mammalia","Carnivora","Mustelidae","Meles",NA,"","Europe Pack"
"122","Fire Salamander","Least concern","Exhibit","Europe Pack","Europe","Portugal, Spain, France, Luxembourg, Belgium, the Netherlands, Germany, Switzerland, Austra, Italy, Czech Republic, Poland, Slovakia, Ukraine, Romania, Hungary, Slovenia, Croatia, Bosnia and Herzegovnia, Serbia, Kosovo, Montenegro, Bulgaria, Albania, North Macedonia, Greece, Turkey","","5 years","3 months","Amphibia","Urodela","Salamandridae","Salamandra",NA,NA,"Europe Pack"
"123","Capybara","Least concern","Full","Wetlands Animal Pack","South America","Venezuela, Columbia, Peru, Bolivia, Brazil, Argentina, Guyana, Ecuador, Paraguay, Uruguay, Suriname, French Guiana","Aquatic,Grassland,Tropical","1.5 years","5 months","Mammalia","Rodentia","Caviidae","Hydrochoerus",NA,"Baird's Tapir,Colombian White-Faced Capuchin Monkey,Galapagos Giant Tortoise,Giant Anteater,Llama,Maned Wolf","Wetlands Animal Pack"
"124","Platypus","Near threatened","Full","Wetlands Animal Pack","Oceania","Australia","Aquatic,Tropical,Grassland,Temperate","2 years","1 month","Mammalia","Monotremata","Ornithorhynchidae","Ornithorhynchus",NA,"","Wetlands Animal Pack"
"125","Wild Water Buffalo","Endangered","Full","Wetlands Animal Pack","Asia","India, Nepal, Bhutan, Myanmar, Thailand, Cambodia","Aquatic,Tropical,Grassland","3 years","10 months","Mammalia","Artiodactyla","Bovidae","Bubalus",NA,"Indian Rhinoceros,Malayan Tapir","Wetlands Animal Pack"
"126","Nile Lechwe","Endangered","Full","Wetlands Animal Pack","Africa","South Sudan, Ethiopia","Aquatic,Grassland","2 years","8 months","Mammalia","Artiodactyla","Bovidae","Kobus",NA,"African Buffalo,Common Ostrich,Red River Hog,Reticulated Giraffe","Wetlands Animal Pack"
"127","Asian Small-Clawed Otter","Vulnerable","Full","Wetlands Animal Pack","Asia","India, Bangladesh, China, Laos, Thailand, Vietnam, Cambodia, Malaysia, Indonesia, Philippines, Nepal, Bhutan, Myanmar, Brunei","Aquatic,Tropical,Grassland","2 years","2 months","Mammalia","Carnivora","Mustelidae","Aonyx",NA,"Binturong,Bornean Orangutan,Indian Rhinoceros,Lar Gibbon,Malayan Tapir,Proboscis Monkey","Wetlands Animal Pack"
"128","Red-Crowned Crane","Vulnerable","Full","Wetlands Animal Pack","Asia","Japan, Korea, China, Mongolia, Russia","Aquatic,Tundra,Taiga,Temperate","4 years","1 month","Aves","Gruiformes","Gruidae","Grus",NA,"Japanese Macaque","Wetlands Animal Pack"
"129","Spectacled Caiman","Least concern","Full","Wetlands Animal Pack","South America","Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil, Peru, Ecuador, Panama, Costa Rica, Nicaragua, El Salvador, Honduras, Guatemala, Belize, Mexico","Aquatic,Tropical,Grassland","6 years","1 month","Reptilia","Crocodilia","Alligatoridae","Caiman",NA,"","Wetlands Animal Pack"
"130","Danube Crested Newt","Least concern","Exhibit","Wetlands Animal Pack","Europe","Hungary, Romania, Moldova","","2.5 years","3 months","Amphibia","Urodela","Salamandridae","Triturus",NA,NA,"Wetlands Animal Pack"
"131","Przewalski's Horse","Endangered","Full","Conservation Pack","Asia","(re)introduced to Mongolia, China, Russia, Kazakhstan, Ukraine, Belarus","Grassland,Desert","2 years","12 months","Mammalia","Perissodactyla","Equidae","Equus",NA,"Bactrian Camel","Conservation Pack"
"132","Amur Leopard","Critically endangered","Full","Conservation Pack","Asia","Russia, China","Taiga,Temperate","3 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","Conservation Pack"
"133","Siamang","Endangered","Full","Conservation Pack","Asia","Indonesia, Malaysia, Thailand","Tropical","8 years","8 months","Mammalia","Primates","Hylobatidae","Symphalangus",NA,"Bornean Orangutan,Lar Gibbon","Conservation Pack"
"134","Scimitar-Horned Oryx","Extinct in the wild","Full","Conservation Pack","Africa","(re)introduced to Morocco, Tunisia, Senegal, Chad, extinct in Mauritania, Mali, Algeria, Burkina Faso, Niger, Sudan, Libya, Egypt","Desert,Grassland","2 years","8 months","Mammalia","Artiodactyla","Bovidae","Oryx",NA,"African Buffalo,Common Ostrich,Plains Zebra,Reticulated Giraffe","Conservation Pack"
"135","Axolotl","Critically endangered","Exhibit","Conservation Pack","North America","Mexico","","1 year","0 months","Amphibia","Urodela","Ambystomatidae","Ambystoma",NA,NA,"Conservation Pack"
"136","Raccoon","Least concern","Full","Twilight Pack","North America, Central America","Canada, USA, Mexico, Guatemala, Belize, Honduras, El Salvador, Nicaragua, Costa Rica, Panama","Aquatic,Temperate,Taiga,Grassland,Tropical","2 years","2 months","Mammalia","Carnivora","Procyonidae","Procyon lotor",NA,"North American Beaver,Striped Skunk","Twilight Pack"
"137","Red Fox","Least concern","Full","Twilight Pack","North America, Europe, Africa, Asia","Canada, USA, Morocco, Algeria, Libya, Egypt, Sudan, all of Eurasia except Southeast Asia","Temperate,Taiga,Grassland,Desert,Tundra","10 months","2 months","Mammalia","Carnivora","Canidae","Vulpes",NA,"","Twilight Pack"
"138","Common Wombat","Least concern","Full","Twilight Pack","Oceania","Australia","Temperate,Grassland","2 years","4 months","Mammalia","Diprotodontia","Vombatidae","Vombatus",NA,"","Twilight Pack"
"139","Striped Skunk","Least concern","Full","Twilight Pack","North America","Canada, USA, Mexico","Temperate,Grassland,Taiga","1 year","2 months","Mammalia","Carnivora","Mephitidae","Mephitis",NA,"Black-Tailed Prairie Dog,North American Beaver,Raccoon","Twilight Pack"
"140","Egyptian Fruit Bat","Least concern","Exhibit","Twilight Pack","Africa, Asia","Turkey, Cyprus, Syria, Lebanon, Israel, Jordan, Egypt, Senegal, Guinea, Ivory Coast, Ghana, Cameroon, Gabon, Congo, Angola, South Africa, Lesotho, Eswatini, Zimbabwe, Mozambique, Malawi, Tanzania, Burundi, Rwanda, Uganda, Kenya, Ethiopia, Yemen, Saudi Arabia, Oman, UAE, Iran, Pakistan","","15 months","4 months","Mammalia","Chiroptera","Pteropodidae","Rousettus",NA,NA,"Twilight Pack"
"141","Red Deer","Least concern","Full","Standard","Europe, Asia, Africa","United Kingdom, Norway, Sweden, Denmark, Finland, Estonia, Latvia, Lithuania, Russia, Netherlands, Belgium, France, Germany, Poland, Belarus, Czechia, Slovakia, Ukraine, Switzerland, Austria, Hungary, Romania, Moldova, Portugal, Spain, Italy, Bosnia and Herzegovina, Serbia, Bulgaria, Greece, Turkey, Armenia, Azerbaijan, Georgia, Iran, Morocco, Algeria, Tunisia","Grassland,Temperate,Taiga","4 years","8 months","Mammalia","Artiodactyla","Cervidae","Cervus",NA,"European Fallow Deer","Standard"
"142","Nine-Banded Armadillo","Least concern","Full","Grasslands Animal Pack","North, Central and South America","USA, Mexico, Argentina, Uruguay, Guatemala, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Ecuador, Guyana, French Guiana, Peru, Brazil, Bolivia, Paraguay","Desert,Tropical,Grassland,Temperate","2 years","7 months","Mammalia","Cingulata","Dasypodidae","Dasypus",NA,"","Grasslands Animal Pack"
"143","Maned Wolf","Near threatened","Full","Grasslands Animal Pack","South America","Bolivia, Brazil, Paraguay, Uruguay, Argentina","Tropical,Grassland","2 years","2 months","Mammalia","Carnivora","Canidae","Chrysocyon",NA,"Capybara,Giant Anteater","Grasslands Animal Pack"
"144","Emu","Least concern","Full","Grasslands Animal Pack","Oceania","Australia","Desert,Tropical,Grassland","1.5 years","3 months","Aves","Casuariiformes","Casuariidae","Dromaius",NA,"Red Kangaroo,Red-Necked Wallaby","Grasslands Animal Pack"
